title,genre,mood,instruments,download_url
Try,댄스 & 일렉트로닉,밝게,"['bass', 'electric guitar', 'synth', 'drums']",https://www.youtube.com/audiolibrary_download?vid=c3eae2cd8b6d0d15
Realization of a New Earth,잔잔한 음악,밝게,"['strings', 'bass', 'synth', 'acoustic guitar']",https://www.youtube.com/audiolibrary_download?vid=91fc7325ef36c598
Trillion,댄스 & 일렉트로닉,밝게,"['drums', 'synth', 'bass', 'electric guitar', '808']",https://www.youtube.com/audiolibrary_download?vid=6cd310128356f976
Parsifal (Gasping),댄스 & 일렉트로닉,밝게,"['drum machine', 'synth', 'drums', 'vocal chops']",https://www.youtube.com/audiolibrary_download?vid=4c8408da7d479fef
Horses & Trains,컨트리 & 포크,밝게,"['drums', 'banjo', 'acoustic guitar', 'electric guitar', 'bass']",https://www.youtube.com/audiolibrary_download?vid=a71cd818d6afb1fb
Gravity Variations,잔잔한 음악,밝게,"['electric piano', 'electric guitar', 'synth', 'keys']",https://www.youtube.com/audiolibrary_download?vid=e37a3015751be819
Sprightly Pursuit,영화음악,밝게,"['horns', 'strings', 'woodwinds']",https://www.youtube.com/audiolibrary_download?vid=f99c6e075716fa8b
Ha,힙합 & 랩,밝게,"['808', 'synth', 'bass', 'drums', 'bells', 'mallets']",https://www.youtube.com/audiolibrary_download?vid=c8d90654adfc2c60
Alaska Sky,팝,밝게,"['bass', 'drums', 'synth', 'electric guitar']",https://www.youtube.com/audiolibrary_download?vid=84b6bf342a3d5725
Psyche,팝,밝게,"['synth', 'bass', 'drums', 'percussion']",https://www.youtube.com/audiolibrary_download?vid=64d52c85170276b4
So Long Analog,댄스 & 일렉트로닉,밝게,"['synth', 'drums', 'bass']",https://www.youtube.com/audiolibrary_download?vid=73b272a96e92bc65
Pale Rider Blues,재즈 및 블루스,밝게,['acoustic guitar'],https://www.youtube.com/audiolibrary_download?vid=18bdf371a5043d5f
Greedy,팝,밝게,"['drums', 'bass', 'synth', 'vocal chops']",https://www.youtube.com/audiolibrary_download?vid=d154f3bce72920bb
Prime,영화음악,밝게,"['electric guitar', 'strings', 'bass', 'drums', 'keys', 'synth', 'electric piano']",https://www.youtube.com/audiolibrary_download?vid=7290f5e63290675c
Try To Catch Me,아동,밝게,"['electric guitar', 'bass', 'piano', 'trumpet', 'brass', 'saxophone', 'woodwinds', 'electric piano']",https://www.youtube.com/audiolibrary_download?vid=a9aa67b6a1dd4f3f
